DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
TSA_SUBPAGES_REPORT,134,133,-1 LINKS
FEDERAL_RESERVE_SUBPAGES_REPORT,227,227,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
JUSTICE_SUBPAGES_REPORT,61,61,NO CHANGE
US_ARMY_SUBPAGES_REPORT,59,59,NO CHANGE
CDC_SUBPAGES_REPORT,133,133,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,78,78,NO CHANGE
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,94,94,NO CHANGE
IRS_SUBPAGES_REPORT,101,101,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,81,81,NO CHANGE
STATE_SUBPAGES_REPORT,334,334,NO CHANGE
DHS_SUBPAGES_REPORT,55,55,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,41,41,NO CHANGE
DEFENSE_SUBPAGES_REPORT,0,0,NO CHANGE
US_NAVY_SUBPAGES_REPORT,0,0,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,133,133,NO CHANGE
FEMA_SUBPAGES_REPORT,166,166,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,140,140,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,0,0,NO CHANGE
DOGE_SUBPAGES_REPORT,7,7,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,90,90,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,184,184,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,118,118,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,90,90,NO CHANGE
FBI_SUBPAGES_REPORT,89,89,NO CHANGE
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,89,89,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,237,237,NO CHANGE
